"","VLF","VUF","VLF.LB","VUF.LB","VLF.UB","VUF.UB"
"1960",21.1365213733314,8.68495129718482,9.9729983257579,4.09788362125652,799.41738178676,328.47888752882
"1959",19.3270898601258,8.4508967025979,8.94644464465202,3.91189155194274,748.458845424148,327.268535232235
"1958",17.8314212890703,8.17646620135883,8.09454677250921,3.71169448737703,705.998548919582,323.730407120581
"1957",16.1013869608523,8.02521558680044,7.16483921836716,3.57108238637819,651.064576088019,324.502081512524
"1956",14.8905881142194,7.90747908069604,6.49281195838723,3.44793465120512,613.900883140377,326.005148609125
"1955",13.9504039931423,7.73387273756462,5.95881732786287,3.30346955563012,585.669262630595,324.685331386456
"1954",13.0258133520019,7.54517616433207,5.44847899527093,3.15602049070235,556.165360035843,322.157665288878
"1953",11.985856800453,7.3682940977297,4.90739663037635,3.01681742313606,519.830956760992,319.565587532668
"1952",11.170523653371,7.09073526798405,4.47495621450721,2.84057675696476,491.322927348454,311.878020854243
"1951",10.0468600383682,6.80174916121224,3.93627145132841,2.66486553412017,447.58960428029,303.019272076498
"1950",9.43249705258033,6.59877936409876,3.61302532381398,2.52759760388453,425.09149194439,297.385193895104
"1949",8.61574605880683,6.34258082503563,3.22485000780656,2.37401052486016,392.285473609655,288.785475555345
"1948",7.61466382203858,6.11191384526033,2.78376428351308,2.23438983834086,349.844368977731,280.802763249096
"1947",6.60756153736363,5.84039316654836,2.35833147968431,2.08451831746385,305.907689292843,270.390395615349
"1946",5.84640793349938,5.50576363662285,2.03616130337302,1.91752320226817,272.407205041905,256.535243680143
"1945",4.56219374357502,5.19970772128975,1.54972009178523,1.76627560774722,213.696680203309,243.558327533106
"1944",4.02446658747423,4.85304701697137,1.33267400818029,1.60705263155227,189.296816095848,228.270338120186
"1943",3.36581726725459,4.46911731669534,1.08598452709316,1.44196546345905,158.761559466756,210.802898167189
"1942",2.82410972083626,4.04113568863137,0.887348476775381,1.26974372535634,133.418611035297,190.914222136776
"1941",2.39453000144681,3.74519917040768,0.732267805806294,1.14531401868631,113.146794291928,176.96887483572
"1940",2.09878881506919,3.42243481650464,0.624337245125873,1.01808886612012,99.0570098714578,161.529429244526
"1939",1.89334846875281,3.10694555633773,0.54755101205518,0.898519850861734,89.1494486887008,146.292395734089
"1938",1.57959625724825,2.88569310760662,0.443874710759893,0.810894674891219,74.1076386406902,135.383900199273
"1937",1.29979904097227,2.59348424217996,0.354687483632192,0.707706630565342,60.6845282810424,121.083615912873
"1936",1.02183963995494,2.33231208369138,0.27060532094255,0.617646874585257,47.4172191660045,108.228090701973
"1935",0.91524718699447,2.08797407505234,0.235058795672434,0.536244938472596,42.1601386416998,96.1808763090068
"1934",0.818718617229291,1.89663508189284,0.203780865113653,0.472076644721985,37.3879916598178,86.6126348311288
"1933",0.663117103988085,1.68865224904145,0.159855967313493,0.407079137460276,29.9863578585625,76.3613701620537
"1932",0.590302314013773,1.52742888812496,0.137730418882576,0.356382510419719,26.4001662321363,68.3113984088588
"1931",0.524874311077254,1.38038099420896,0.118443804901849,0.311498531587006,23.1913683148092,60.9916000380339
"1930",0.455743762495143,1.249446884373,0.0993899887553725,0.272483184648284,19.8686574956411,54.4710300996553
"1929",0.414872625687772,1.12468768055304,0.087374142790405,0.23686456013419,17.8242302848839,48.3201131516355
"1928",0.378851374088508,0.997091384929452,0.0769877452315004,0.202622513116552,16.0195477424572,42.1615286018165
"1927",0.351487784547187,0.911310226746656,0.0688641363679138,0.178545583907002,14.6078724367396,37.8741570201687
"1926",0.327517994496871,0.821048426797951,0.0618164741764583,0.15496650481982,13.3614589805435,33.4955790522386
"1925",0.306693388655104,0.746594390190884,0.0557185112468084,0.135637511160815,12.2652593202972,29.8577476447271
"1924",0.288747859857789,0.681001880542711,0.050450978979288,0.118986895961886,11.3050743310982,26.6626283669936
"1923",0.26403466480566,0.620528226665926,0.0443291985995269,0.104181468053571,10.1068128670773,23.75280030093
"1922",0.251188033362839,0.56331747052438,0.040488817690864,0.0908007362484271,9.38979884496911,21.0576820211821
"1921",0.239886109269394,0.513514475693303,0.0370905373383974,0.0793982106447048,8.74531020596655,18.7207312623048
"1920",0.210956402914579,0.468768340594184,0.0312593859770883,0.0694617953758259,7.49102731281884,16.6458869902029
"1919",0.164093947006972,0.427841845786152,0.0232815853749262,0.0607020346656242,5.66778930145026,14.7776166061534
"1918",0.157533719761,0.392359120382678,0.0213788316019657,0.0532468831110105,5.28539473096217,13.1639932749747
"1917",0.0698528339650341,0.359518990520232,0.00905853808397182,0.0466225388817986,2.27340624067853,11.7007810606549
"1916",0.0397698334747055,0.328547404410903,0.00492313085955884,0.0406710746353019,1.25388662604733,10.3586351870297
"1915",0.0371634062625253,0.281144344881482,0.00438696766508302,0.0331877853580852,1.13336623906092,8.57401247185678
"1914",0.0184108558377407,0.259756272965896,0.00207028918866118,0.0292094299334977,0.54241047274326,7.65279594056877
"1913",2.6111525132917e-19,0.239845501063626,2.79393767805474e-20,0.0256635098456512,7.42004527987351e-18,6.81562822932376
"1912",2.74464651592893e-19,0.221930329807973,2.79133257161375e-20,0.0225705333866031,7.51233303398131e-18,6.07442356668846
"1911",2.8883433296697e-19,0.209265367825193,2.78875001781845e-20,0.0202049663645086,7.60261076012336e-18,5.50822030333534
"1910",3.04320196285145e-19,0.18995535184863,2.78623318747446e-20,0.0173915471900896,7.69190527061484e-18,4.80125404065172
"1909",3.21033585622266e-19,0.123129155165381,2.78377541827126e-20,0.0106768864932779,7.77991192599485e-18,2.98390581425316
"1908",3.39086988439997e-19,0.0822353442453019,2.78138620470231e-20,0.00674541518313973,7.8670388127587e-18,1.90791350601424
"1907",3.5862347473386e-19,0.0618188626216124,2.77901926493508e-20,0.00479042288822081,7.95309381335484e-18,1.37093985336415
"1906",3.79772650870764e-19,0.0351940907380164,2.77672836661054e-20,0.00257323506222071,8.03777382331264e-18,0.744872335121316
"1905",4.02719526185348e-19,0.0299742051909279,2.7744819012426e-20,0.00206503247046647,8.12106027724014e-18,0.604446298950642
