"","VLF001","VLF004","VLF005","VLF007","VLF008","VLF009","VLF010","VLF011","VLF012","VLF015","VLF016","VLF017","VLF018","VLF019","VLF020","VLF021","VLF022","VLF023","VLF025","VLF051","VLF052","VLF053","VLF054","VLF055","VLF057","VLF058","VLF059","VLF061","VLF062","VLF063","VLF064","VLF065","VLF066","VLF067","VLF068","VLF069","VLF070","VLF072","VLF073","VLF074","VLF075","VLF101","VLF102","VLF104","VLF105","VLF106","VLF107","VLF108","VLF109","VLF112","VLF113","VLF114","VLF115","VLF116","VLF117","VLF118","VLF119","VLF120","VLF121","VLF122","VLF123","VLF124","VLF125","VLF126","VLF127","VLF128","VLF129","VLF130","VLF131","VLF132","VLF133","VLF134","VLF135","VLF136","VLF137","VLF138","VLF139","VLF140","VLF141","VLF142","VLF143","VLF145","VLF146","VLF147","VLF149","VLF150","VUF001","VUF002","VUF003","VUF004","VUF005","VUF006","VUF007","VUF008","VUF009","VUF010","VUF011","VUF012","VUF013","VUF015","VUF016","VUF017","VUF018","VUF019","VUF020","VUF021","VUF022","VUF023","VUF024","VUF026","VUF032","VUF036","VUF037","VUF040","VUF044","VUF045","VUF046","VUF047","VUF048","VUF049","VUF050","VUF101","VUF102","VUF104","VUF105","VUF106","VUF107","VUF108","VUF109","VUF110","VUF111","VUF112","VUF114","VUF115","VUF116","VUF117","VUF118","VUF119","VUF120","VUF122","VUF125","VUF128","VUF129","VUF130","VUF131","VUF132","VUF133","VUF135","VUF136","VUF137","VUF138","VUF139","VUF140","VUF142","VUF143","VUF144","VUF145","VUF146","VUF147","VUF148","VUF149","VUF150","VUF151"
"1954",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1958",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61928571428571,NA,NA,NA,NA,NA,1.60380034032898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.90657894736842,NA,NA,NA,NA,NA,1.74136971046771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.548,NA,NA,NA,NA
"1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04364023416711,NA,NA,NA,NA,NA,1.74422442244224,NA,NA,NA,NA,NA,NA,NA,1.72564207093355,NA,NA,NA,NA,NA,NA,NA,1.64316880283611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64942528735632,NA,1.5296502787633,NA,NA
"1961",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57047724750277,NA,NA,1.66362001798022,NA,NA,1.64159292035398,NA,NA,NA,NA,NA,NA,NA,NA,1.58525956801819,NA,NA,1.67348608837971,2.19474539544962,NA,1.64502267844354,NA,NA,NA,1.78484042553192,1.60431965442765,NA,NA,NA,NA,NA,NA,1.79621600315333,NA,NA,NA,NA,NA,NA,NA,1.98154164205552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57692307692308,NA,NA,NA,NA,NA,NA,NA,NA,1.62380323539122,NA,NA,NA,NA,NA,1.5593023255814,NA,NA,1.63523459061638,NA,1.86501901140684,NA,NA
"1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67633455386394,NA,NA,1.80468003820439,NA,NA,1.6357220412595,NA,NA,NA,NA,NA,NA,NA,1.52093694849992,1.66301751592357,NA,NA,1.74215059738816,2.188894654904,NA,1.74665676077266,NA,NA,NA,1.74045801526718,1.7621359223301,NA,NA,NA,NA,NA,NA,1.84327485380117,NA,NA,NA,NA,NA,NA,1.66673076923077,2.19738911607424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51342710997442,NA,NA,NA,NA,NA,NA,NA,NA,1.74252717391304,NA,NA,NA,NA,NA,1.69588187483067,NA,NA,1.55560518088432,NA,2.00312145289444,NA,NA
"1963",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85419198055893,NA,NA,2.0092745942365,1.51255230125523,NA,1.73473917869034,NA,NA,1.56159080244017,NA,NA,NA,NA,1.6518668012109,1.77363184079602,NA,NA,1.82847025495751,2.01764705882353,NA,1.84597701149425,NA,NA,NA,1.82995438418652,2.01628256513026,1.58349439505218,NA,NA,NA,NA,NA,2.07864941366761,NA,NA,NA,NA,NA,NA,1.83177189409369,2.44820717131474,1.51621621621622,NA,NA,NA,NA,1.6098852603707,NA,NA,1.70179691956646,NA,NA,1.57005494505495,NA,NA,NA,NA,NA,NA,NA,NA,1.98183760683761,NA,NA,NA,NA,NA,1.91973684210526,NA,NA,1.58445945945946,NA,2.29761904761905,NA,1.58647751282825
"1964",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64563979622415,2.08648028374713,NA,NA,2.22984927916121,1.55184466019417,NA,1.83843537414966,NA,1.53410167350805,1.66469594594595,NA,NA,NA,NA,1.78984661553851,1.78996737357259,NA,NA,1.93953880764904,1.93711872360394,NA,1.90193370165746,NA,1.60746887966805,NA,1.94518103008669,2.21545547594678,1.74529058116232,NA,NA,NA,NA,NA,2.31904161412358,NA,NA,NA,NA,NA,1.51141552511416,2.0145202020202,2.56223798774589,1.86,1.62792931233192,NA,1.72327469553451,NA,1.78133577310156,NA,NA,1.9354216152019,NA,NA,1.74342105263158,NA,NA,NA,NA,NA,1.53702687877126,NA,NA,2.12839985870717,NA,NA,1.51015384615385,NA,NA,2.2138026437135,NA,1.54741833508957,1.66518056174766,1.51963601532567,2.55960684844642,NA,1.71735241502683
"1965",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74688279301746,2.10452853598015,NA,NA,2.16599063962558,NA,NA,1.74426111908178,NA,1.6022835394862,1.63617121354657,NA,NA,NA,NA,1.78466973381531,1.64301929625426,NA,NA,1.86720647773279,1.89707806367205,NA,1.80704941860465,NA,1.64210526315789,NA,1.83193277310924,2.24962406015038,1.88737270875764,NA,NA,NA,NA,NA,2.36262583892617,1.5226814516129,NA,NA,NA,NA,1.70826740506329,2.01201629327902,2.42885315533981,2.02590543259557,1.655,NA,1.75033647375505,NA,1.81451612903226,NA,NA,2.01631097560976,NA,NA,1.74600870827286,NA,NA,NA,NA,NA,1.65101237345332,NA,NA,2.18697916666667,1.97796610169492,NA,1.68613830123145,NA,1.55333333333333,2.3163613784539,NA,NA,1.59327411167513,1.52217678515256,2.61907770056854,NA,1.63616960728515
"1966",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.74734768111549,1.91274029400678,NA,NA,2.03866932044356,NA,1.54648526077097,1.59106239460371,NA,1.61851851851852,1.56897711978466,NA,NA,NA,NA,1.73518344308561,NA,NA,NA,1.7484962406015,1.70538187574199,NA,1.65009918448314,NA,1.58693972179289,NA,1.66723187791437,2.18086102012167,1.97546497823506,NA,NA,1.72257053291536,NA,NA,2.30279126213592,1.52259475218659,NA,NA,NA,NA,1.95625257944697,1.85880779518533,2.30090684253916,2.21293060409386,1.63813762410134,NA,1.83186738836265,NA,1.78166815343443,NA,NA,1.86665707710011,NA,NA,NA,NA,NA,1.67548226509023,NA,NA,1.69960696238069,NA,1.69846153846154,2.1992741669416,2.5278310940499,NA,1.96948051948052,NA,1.62610619469027,2.26749208177368,NA,NA,1.50725221595488,1.53381053914103,2.47434402332361,NA,1.62066182405165
"1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6773220747889,1.77592524734335,NA,NA,1.96654535274356,NA,1.57426326129666,NA,NA,1.62311015118791,NA,NA,NA,NA,NA,1.68585905112851,NA,NA,NA,1.69298463063956,NA,NA,1.53772570937231,NA,1.578352180937,1.51635071090047,1.54229668982427,2.12642628936559,1.93187203791469,NA,NA,1.83798283261803,NA,NA,2.06513482719332,1.5278603268945,1.59683313032887,1.64864864864865,NA,NA,2.22372505543237,1.8479587943533,2.13720316622691,2.32878475798146,1.6390625,NA,1.90324809951624,NA,1.71549479166667,NA,NA,1.81769320162696,NA,NA,NA,NA,NA,2.06863442389758,NA,NA,1.80389840519787,NA,1.95544554455446,2.14121037463977,2.82142857142857,1.50688935281837,2.19325153374233,NA,1.71379310344828,2.11465231788079,NA,NA,NA,1.54161471321696,2.32008953553441,NA,1.63662316476346
"1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57687723480334,1.58823529411765,NA,NA,1.85641575140638,NA,1.5774231678487,NA,NA,1.61068585425597,NA,NA,NA,NA,NA,1.58985464689473,NA,NA,NA,1.60411680229775,NA,NA,NA,NA,1.50892626131953,1.52278120550546,NA,1.91762767710049,1.82075840500391,NA,NA,1.83333333333333,NA,NA,1.76684912760862,1.51831949193942,1.69067000626174,1.80775862068966,NA,NA,2.29009126466754,1.76024890190337,1.92321557317952,2.31914893617021,1.65508298755187,NA,1.90277777777778,NA,1.50237435694499,NA,NA,1.62459935897436,NA,NA,NA,NA,NA,2.3413323782235,NA,NA,1.91152019002375,NA,2.34,2.06932966023875,2.70871143375681,1.53169907016061,2.27730950775455,NA,1.74689966178129,1.97448186528497,NA,NA,NA,1.53125957707631,2.01897154268597,NA,1.65059445178336
"1969",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.61042944785276,NA,1.52521479267837,NA,NA,1.54762598310516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67206846321923,1.62979724837075,NA,NA,1.85378715244487,NA,NA,1.55223420647149,NA,1.7129963898917,1.86034912718204,NA,NA,2.22197400487409,1.52541544477028,1.65293118096856,2.21356553620532,1.66721635883905,NA,1.80356083086053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.31951697127937,NA,NA,1.85776095186587,NA,2.44845360824742,1.88003220611916,2.59233449477352,NA,2.26261504284354,NA,1.70662460567823,1.7079615648593,NA,NA,NA,NA,1.67836770513383,NA,1.62385321100917
"1970",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51639072847682,NA,NA,NA,1.8236914600551,NA,NA,NA,NA,1.78554431885782,1.892578125,NA,NA,2.15810502283105,NA,NA,2.11407249466951,1.74896066517429,NA,1.81446370530878,NA,NA,NA,NA,NA,1.56780133928571,NA,NA,NA,NA,2.1875,3.16540785498489,NA,1.67369186046512,1.65113350125945,2.70569620253165,1.73422655298417,2.4637436762226,NA,2.2430029154519,NA,1.77857142857143,NA,NA,NA,NA,NA,NA,NA,1.58711943793911
"1971",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.86774193548387,NA,NA,NA,NA,1.82315978456014,1.80619012527634,NA,NA,2.05599710982659,NA,NA,1.97941888619855,1.76602364654636,NA,1.79652042360061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.08710407239819,3.39952153110048,NA,NA,2.05898123324397,2.52958579881657,1.60797266514806,2.18628912071535,NA,2.16578434104207,NA,1.80496108949416,NA,NA,NA,NA,NA,NA,NA,1.55522524582666
"1972",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.92613636363636,NA,NA,NA,NA,1.75108342361863,1.67258382642998,NA,NA,1.85802469135802,NA,NA,1.7982740021575,1.72722095671982,NA,1.76627218934911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01816786079836,3.02083333333333,NA,NA,2.88888888888889,2.49033149171271,1.58867147270855,1.97430830039526,NA,2.11724137931034,NA,1.78033658104517,NA,NA,NA,NA,NA,NA,NA,1.50576923076923
"1973",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85344129554656,NA,NA,NA,NA,1.70074074074074,1.62897196261682,NA,NA,1.74977934686673,NA,NA,1.65535714285714,1.73353772327379,1.52223251505327,1.71217948717949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97841726618705,2.65673420738975,NA,NA,4.35530546623794,2.41029023746702,1.51013904982619,1.87092882991556,NA,2.09000479386385,NA,1.80176767676768,NA,NA,NA,NA,NA,NA,NA,NA
"1974",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50488599348534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.51066666666667,NA,1.78498827208757,NA,NA,NA,NA,1.69882179675994,1.70345489443378,NA,NA,1.77120822622108,NA,NA,1.61765639885678,1.8171114599686,1.67050258337248,1.75647668393782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.04649499284692,2.49677419354839,NA,NA,5.82671480144404,2.26485148514851,NA,1.74679487179487,NA,2.02847955902618,NA,1.91137123745819,NA,NA,NA,NA,NA,NA,NA,NA
"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66077537058153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.50042674253201,NA,1.58690987124464,NA,NA,NA,NA,1.60430009149131,1.68542435424354,1.74813895781638,NA,1.66252642706131,NA,NA,1.50911986103069,1.75171232876712,1.81857798165138,1.74077146412277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95498251748252,2.17592592592593,NA,NA,5.56796116504854,1.89802631578947,NA,1.57558139534884,NA,1.79570450300892,NA,1.88819390148554,NA,NA,NA,NA,NA,NA,NA,NA
